name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ010717.90-091329.5,16.82458333,-9.224861111,,18.82,8.72,,,,,,,,,,,,d,Green2013,16.8246133593377,-9.2248488957892,0.009,0.007,90.0,2474755590406338432,16.82530178688,0.3171,-9.22511045713,0.2508,2.5251,2.5251,396.0239198447586,7.988607090522194,0.3441,157.825,0.612,-60.75,0.474,true,542.573,1.13867,18.85222,10.863612909477805,188.44,12.0989,19.663458,594.358,10.605,17.8268,1.836659,,,0,,,,,,0.115413
SDSSJ010942.00+165809.5,17.425,16.96930556,,17.49,7.31,,,,,,,,,,,,u,Green2013,17.4249944760147,16.969289154767,0.004,0.003,90.0,2784151840269912448,17.42500175649,0.1171,16.9692806936,0.1032,0.0453,0.0453,22075.05518763797,16.71950898993584,0.138,1.617,0.244,-1.965,0.174,false,1772.27,3.01577,17.567043,0.8475340100641624,832.982,12.1529,18.049799,1379.82,12.8534,16.912363,1.137436,,,0,,,,,,0.062046
SDSSJ011043.99-103109.8,17.68291667,-10.51938889,,15.71,7.77,,,,,,,,,,,,g,Green2013,17.6833061514372,-10.5194112768561,0.002,0.001,90.0,2469921381376157952,17.68330363454,0.0381,-10.51942479098,0.0335,0.0805,0.0805,12422.360248447205,15.471020598160656,0.0498,-0.575,0.097,-3.139,0.072,false,9128.67,4.00673,15.787347,0.31632640183934413,3829.33,11.8051,16.393581,7558.29,12.8309,15.065862,1.32772,,,0,4762.87,0.3602,0.2338,,,1.380921
SDSSJ011717.70+010544.1,19.32375,1.095583333,,18.91,8.09,,,,,,,,,,,,d,Green2013,19.32373069359,1.0955977895387,0.013,0.005,90.0,2535287377711328512,19.32387346469,0.3126,1.09558398034,0.1871,0.0143,0.0143,69930.06993006993,19.223319812674692,0.3188,33.154,0.817,-3.207,0.344,false,471.504,1.41518,19.004652,-0.21866781267469193,190.844,14.3585,19.649694,409.953,11.7945,18.230083,1.419611,,,0,,,,,,0.086818
SDSSJ011910.86+250137.2,19.795,25.027,,16.7,7.32,,,,,,,,,,,,dG,Green2013,19.7952169121632,25.0270289382007,0.002,0.002,90.0,294439597487292928,19.79527150967,0.0861,25.02699028691,0.0584,0.0046,0.0046,217391.30434782608,21.68621084159213,0.103,11.49,0.134,-8.977,0.119,false,3775.58,3.65058,16.745909,-4.940301841592127,1741.36,27.442,17.249165,2960.71,23.1679,16.083431,1.165733,,,0,4908.37,,,,,0.715193
SDSSJ012028.56-083630.9,20.11875,-8.608583333,,17.0,8.56,,,,,,,,,,,,d,Green2013,20.1189486574993,-8.608570678603,0.003,0.001,90.0,2472125077555720448,20.11960450025,0.1059,-8.60879848972,0.0507,1.7569,1.7569,569.1843588138198,8.776264785819299,0.1279,150.609,0.211,-52.911,0.085,false,2847.21,2.91985,17.052319,8.276054214180702,898.507,8.14934,17.967585,2806.7,13.99,16.141428,1.826157,,,0,4080.05,0.224,0.114,,,0.708576
SDSSJ012101.10-001507.3,20.25458333,-0.252027778,,19.26,8.45,,,,,,,,,,,,d,Green2013,20.2545764529056,-0.2520772688588,0.011,0.008,90.0,2534143954337742976,20.2546255093,0.3037,-0.25215380369,0.2646,0.7209,0.7209,1387.1549452073798,10.710624872382189,0.3647,11.394,0.738,-17.776,0.485,false,341.448,1.33125,19.355053,8.644428127617813,125.509,6.30812,20.104702,356.871,10.2736,18.380642,1.72406,,,0,,,,,,0.179879
SDSSJ012150.33+011302.2,20.45958333,1.217277778,,16.97,8.38,,,,,,,,,,,,d,Green2013,20.459591192673,1.2173685933199,0.003,0.002,90.0,2535163480790040064,20.46047588546,0.0908,1.21678123657,0.0656,3.2098,3.2098,311.54589070970155,7.467610136421712,0.1043,205.431,0.188,-136.418,0.129,false,2748.45,2.84432,17.090645,9.623034863578287,886.109,18.7358,17.98267,2693.21,16.1308,16.186245,1.796425,,,0,,,,,,0.328158
SDSSJ012159.74-010142.8,20.49875,-1.028555556,,18.0,,,,,,,,,,,,,dG,Green2013,20.4989302231058,-1.0285764894599,0.006,0.003,90.0,2533524212032326528,20.49902553118,0.1777,-1.02859137164,0.1085,0.7059,0.7059,1416.6312508853946,10.756284090521582,0.2116,22.133,0.358,-3.457,0.193,false,1117.62,2.18124,18.067629,7.311344909478418,567.481,11.4166,18.466509,789.006,11.2704,17.519218,0.94729,,,0,,,,,,0.653061
SDSSJ012321.07-004549.9,20.8375,-0.763861111,,17.73,8.21,,,,,,,,,,,,uE,Green2013,20.8378052492747,-0.7638790908781,0.006,0.003,90.0,2533910754793841408,20.8377914577,0.1565,-0.76385699343,0.1003,0.7823,0.7823,1278.281989006775,10.533133348769876,0.1695,-3.203,0.388,5.132,0.185,false,1396.02,3.03378,17.826138,7.293004651230124,535.985,9.17765,18.528507,1276.13,16.1929,16.99718,1.531326,,,0,,,,,,1.100705
SDSSJ012518.67-104448.2,21.3275,-10.74672222,,16.42,8.54,,,,,,,,,,,,d,Green2013,21.327810157609,-10.7467286538947,0.005,0.002,90.0,2458779067979157376,21.32767580441,0.1754,-10.74729408833,0.0949,3.0315,3.0315,329.8697014679202,7.591712137145075,0.1985,-30.657,0.324,-131.327,0.151,false,4929.73,4.17027,16.456306,8.864593862854926,1622.48,10.9169,17.32594,4808.24,21.366,15.556955,1.768984,,,0,4229.5,0.1812,0.09,,,1.097228
SDSSJ012526.74+000448.5,21.36125,0.080138889,,19.32,8.45,,,,,,,,,,,,d,Green2013,21.3614333041814,0.0801560274158,0.018,0.008,90.0,2534079632907868672,21.36167763112,0.4702,0.08015692746,0.2849,1.3281,1.3281,752.9553497477599,9.38384611650745,0.5109,56.747,1.144,0.209,0.508,false,319.276,1.79948,19.427952,10.044105883492552,108.75,10.9567,20.260311,311.679,15.1373,18.52765,1.73266,,,0,,,,,,0.662772
