,Nsigma,usigma,gsigma,starindex
307,3.830879968,59.76396436,56.74055495,455
308,9.334167737,22.50589343,18.57056807,456
309,20.35797388,40.73994381,27.17670264,457
310,5.186794213,43.43477757,31.00556255,458
311,6.227103768,3.693698199,0.122722034,460
312,12.97664645,25.46501592,5.489339689,461
313,14.73333292,20.1555295,4.253169292,462
314,3.665689918,21.72103853,9.714976422,464
315,32.1526001,41.96772818,6.21450526,466
316,20.3868371,3.974434013,208.5899495,467
317,15.01370181,36.73242071,19.12987156,469
318,3.174048857,31.64180655,41.7447855,470
319,22.22409655,128.0280254,164.9262777,471
320,13.72540633,41.26104357,50.67365162,472
321,8.874150117,65.76426666,92.78738496,473
322,5.194088419,30.96278278,11.7213784,474
323,36.1492377,48.63491725,409.1589338,478
324,11.68097242,68.07386709,11.01866726,479
325,4.368648854,3.581517979,2.13618709,480
326,8.747945552,21.25062715,34.82858147,483
327,3.438120622,7.513155195,4.856879926,484
328,3.193937533,12.99639728,21.53797392,486
329,6.626943344,6.245292259,2.125917107,487
330,15.55931135,180.9485737,411.4375537,488
331,4.438847988,19.03826096,13.82398844,490
332,9.666988724,20.58999366,14.45911935,491
333,4.825308522,4.199656323,5.281438375,492
334,6.485618348,17.06927871,84.95562456,494
335,13.99170388,48.94377959,27.55836118,495
336,13.54062974,42.02937003,16.15763932,496
337,6.518692146,12.03100266,8.95157508,498
338,3.214620336,8.109097143,1.958558105,501
339,3.852618825,10.62570023,8.79114755,502
340,4.618750633,12.05327096,9.144239297,503
341,4.631013232,18.87903439,12.49632432,504
342,5.381163134,70.28922872,44.82882131,505
343,12.37088696,35.90941209,101.1760323,506
344,4.542446525,25.02215899,16.02332614,507
345,5.422294834,18.98317418,15.87737918,509
