,col1,diffN,diffu,diffg
404,404,0.051999728,0.671100231,0.937150209
405,405,0.099950791,0.634232742,0.940446367
406,406,0.016290841,0.330162175,0.883024069
407,407,0.112344055,1.028045865,1.031979823
408,408,0.075142296,0.980161534,2.426864903
409,409,0.111553315,0.578625915,0.906835362
410,410,0.018043786,0.282867345,0.564836051
411,411,0.053689663,0.317760902,0.788216694
412,412,0.045024464,0.504578605,0.927602693
413,413,0.088148174,0.52355061,0.889779546
414,414,0.049570845,0.524146524,0.896541656
415,415,2.58E-05,0.012278158,0.438613912
416,416,0.021845288,0.303192813,0.791069793
417,417,0.00056473,0.616664945,0.386631826
418,418,0.083796184,0.687682742,3.178363836
419,419,0.092530594,1.68122262,1.033023021
420,420,0.001431173,0.151088332,1.080583729
421,421,0.048457291,1.020089434,1.043780584
422,422,0.063153974,0.769301738,0.989359459
423,423,0.00042443,0.55163177,0.387344685
424,424,0.000219605,0.058532863,0.262320118
425,425,0.116984106,2.329800914,0.92005714
426,426,0.046877861,0.997408183,1.008547751
427,427,0.077954294,0.661947931,0.929532996
428,428,0.083385311,0.55360807,0.898417919
429,429,0.151602373,0.738281798,0.951588568
430,430,0.013784714,0.740017554,0.94827962
431,431,0.171796367,0.954720444,1.016276783
432,432,0.025363523,0.472732819,1.005087656
433,433,0.246855411,0.663032049,0.907278074
434,434,0.431047502,0.71997779,1.284147186
435,435,0.283125417,0.813182772,1.89410305
436,436,0.313825883,0.710966017,0.925285179
437,437,0.159436657,0.743683319,4.19376031
438,438,0.000872794,0.084120146,0.286203671
439,439,0.075916883,0.95376579,1.009744807
440,440,0.142797828,1.094696637,1.052498814
441,441,0.559800945,2.039307933,1.252297749
442,442,0.289457995,0.691265457,0.919584412
443,443,0.307957214,0.713502339,0.939493983
444,444,0.06465626,0.670268541,1.114218592
445,445,0.100674692,0.927506296,1.066667887
446,446,0.419090794,0.870413529,1.00728889
447,447,0.14521646,0.609046627,0.934402668
448,448,0.090251338,1.126712065,1.096698133
449,449,0.294820291,1.207567038,3.059223469
450,450,0.027323414,0.384149778,0.851619559
451,451,0.056999624,0.524311005,0.894112985
452,452,6.66E-05,0.063643858,0.126696785
453,453,0.132192839,0.798340227,1.897595319
454,454,0.069963409,0.671998967,0.950794821
455,455,0.00108229,0.119276965,0.372877004
456,456,0.123702537,1.331662227,1.034208255
457,457,0.109752085,0.624769832,0.849815798
458,458,0.02112989,0.359914922,0.771542052
459,459,4.52E-10,0.772873668,0.147332266
