,uchisq,gchisq,rchisq,ichisq,zchisq,totchisq,reducedtotchisq,umagdif,gmagdif,rmagdif,imagdif,zmagdif
68,,,,,,,,3.6636370000000014,1.2172490000000007,1.4469740000000009,1.5586060000000002,2.3660570000000014
69,,,,,,,,3.7657950000000007,1.2949490000000008,1.5140550000000008,1.6206969999999998,2.425116000000001
70,,,,,,,,3.8704860000000014,1.374663,1.5828500000000005,1.6845720000000002,2.485622000000001
71,,,,,,,,3.9727890000000006,1.451464999999999,1.6484769999999997,1.745381,2.5427690000000007
72,,,,,,,,4.075787,1.5278500000000008,1.7130240000000008,1.8050050000000004,2.5982970000000005
73,,,,,,,,4.178092000000001,1.604108,1.7774660000000004,1.8646890000000003,2.653714000000001
74,,,,,,,,4.27802,1.678991,1.840745,1.9234300000000006,2.70814
75,,,,,,,,4.380523,1.7560339999999997,1.9056059999999997,1.983619,2.7637090000000004
76,,,,,,,,4.478948000000001,1.8303159999999998,1.9679960000000003,2.041278,2.8170230000000007
77,,,,,,,,4.578703000000001,1.9060570000000006,2.031581,2.099639999999999,2.871289000000001
78,,,,,,,,4.686654000000001,1.9868880000000004,2.0984729999999994,2.1601979999999994,2.9275100000000016
79,,,,,,,,4.798398000000001,2.0700839999999996,2.1666550000000004,2.2212440000000013,2.9841690000000014
80,,,,,,,,4.907611000000001,2.1518770000000007,2.2337130000000007,2.2811210000000006,3.039891000000001
