,Unnamed: 0,Nsigma,usigma,gsigma,starindex
280,280,4.139067082091447,19.613197833592515,13.520079462852117,436.0
281,281,46.580386014258806,99.44003068749952,129.16558809499696,438.0
282,282,11.214474788417917,33.52029984421067,14.55166728302439,442.0
283,283,5.779175463194229,25.921583596620643,10.948914604948286,443.0
284,284,5.644021936210135,13.264038138454312,7.122106842916718,447.0
285,285,3.130813286576688,23.879396320080502,20.137702230548296,450.0
286,286,7.298142170232796,43.039143370273926,19.16086968990149,451.0
287,287,12.201004043313862,63.53912906006644,237.04409432072111,452.0
288,288,12.064192602652334,22.25739826154196,8.903962233850134,454.0
289,289,3.8308799680022143,59.76396436412221,56.74055495445423,455.0
290,290,20.357973880314937,40.73994380922543,27.17670263933269,457.0
291,291,5.1867942132289295,43.43477757161842,31.005562553025257,458.0
293,293,12.976646451846117,25.46501591948575,5.489339689141008,461.0
294,294,14.733332919055831,20.15552950463796,4.253169291672601,462.0
295,295,3.6656899177656297,21.72103853322764,9.714976422154985,464.0
296,296,32.1526001022586,41.96772817549815,6.214505259967098,466.0
297,297,15.013701809136023,36.732420708031135,19.12987156401586,469.0
298,298,3.1740488572056784,31.64180654594772,41.7447855010083,470.0
299,299,13.72540633322988,41.26104356667457,50.67365161764037,472.0
300,300,8.874150117174388,65.7642666607158,92.78738495519902,473.0
301,301,5.194088418822992,30.962782784876023,11.721378404234333,474.0
305,305,11.68097242152155,68.07386708952345,11.018667262173444,479.0
306,306,3.4381206219172222,7.513155195142623,4.85687992625092,484.0
307,307,3.1939375334994016,12.996397283151136,21.537973924418267,486.0
308,308,6.62694334424985,6.245292258927309,2.125917106989633,487.0
310,310,4.438847987961782,19.038260957570174,13.823988444605993,490.0
311,311,9.66698872375198,20.589993664423083,14.459119352090724,491.0
313,313,6.485618347613865,17.069278710632016,84.95562456282076,494.0
314,314,13.991703876818502,48.94377959064086,27.55836118120093,495.0
315,315,13.540629744640324,42.02937003286581,16.157639320233397,496.0
316,316,6.51869214644372,12.031002655722864,8.951575080415331,498.0
319,319,3.2146203364476387,8.109097142664444,1.9585581049750096,501.0
320,320,3.852618824630764,10.625700228868732,8.791147550317685,502.0
321,321,4.631013232402395,18.8790343864829,12.49632431604256,504.0
322,322,12.370886958252507,35.909412092949914,101.17603232728048,506.0
323,323,4.542446524614669,25.022158994727445,16.023326142874357,507.0
325,325,5.422294833857778,18.983174176556357,15.877379182480285,509.0
326,326,5.21307431296293,9.456911310176553,5.430536018818086,510.0
329,329,10.964124732022258,31.026953728440866,19.89593627423096,515.0
331,331,22.559369448170905,73.37560698062578,88.45182685381913,517.0
332,332,6.242001776975312,83.26154408947284,69.64996633862751,518.0
334,334,24.092011077791376,75.96582186429342,86.83881958005972,520.0
335,335,3.052685985802501,15.940558302056976,18.71278947754397,522.0
336,336,9.259756333836764,19.43480289522196,13.16917852813324,523.0
337,337,3.4590482352079066,16.45958239762102,17.020440392071855,524.0
338,338,4.5855502553271,13.08681793300073,13.558965157503769,525.0
339,339,5.0129808850521504,10.308117749102529,17.901700064376353,526.0
340,340,3.173488773995623,11.40129537240914,15.48001310829086,527.0
