name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin
J061822.81+343814.5,94.595075,34.637379,15.68,13.26,11.22,,,,,,,,,,,,,Lamost_DR2
J061831.70+173428.2,94.63211,17.574521,15.56,14.04,13.36,,,,,,,,,,,,,Lamost_DR2
J061838.08+325612.2,94.658698,32.936742,14.97,13.63,12.9,,,,,,,,,,,,,Lamost_DR2
J061840.06+015048.7,94.666927,1.846879,15.04,14.01,13.65,,,,,,,,,,,,,Lamost_DR2
J061859.39+123410.5,94.747487,12.569587,15.57,13.16,13.19,,,,,,,,,,,,,Lamost_DR2
J061913.42+344922.7,94.805952,34.822991,15.95,14.89,14.43,,,,,,,,,,,,,Lamost_DR2
J061935.65+012942.3,94.898579,1.495107,13.04,11.85,11.21,,,,,,,,,,,,,Lamost_DR2
J061937.63+243025.5,94.906821,24.50711,16.54,14.54,13.03,,,,,,,,,,,,,Lamost_DR2
J061939.36-045832.6,94.914039,-4.975746,14.61,13.63,13.29,,,,,,,,,,,,,Lamost_DR2
J061945.55+124207.5,94.939796,12.702089,17.37,15.76,14.97,,,,,,,,,,,,,Lamost_DR2
J061958.16+332222.0,94.99234,33.372784,15.46,14.48,14.02,,,,,,,,,,,,,Lamost_DR2
J062017.15+250434.2,95.071493,25.076172,15.3,13.31,12.21,,,,,,,,,,,,,Lamost_DR2
J062024.72+540935.8,95.103012,54.159959,13.85,13.01,12.45,,,,,,,,,,,,,Lamost_DR2
J062033.89+035326.5,95.141225,3.890699,14.09,11.84,10.13,,,,,,,,,,,,,Lamost_DR2
J062036.21+191709.6,95.150875,19.286007,16.59,15.43,14.9,,,,,,,,,,,,,Lamost_DR2
J062036.47+234629.6,95.151995,23.774913,15.63,12.1,12.68,,,,,,,,,,,,,Lamost_DR2
J062040.30+224036.9,95.16794,22.676935,18.17,14.76,13.47,,,,,,,,,,,,,Lamost_DR2
J062051.93+363146.0,95.21639,36.529471,15.66,14.69,14.29,,,,,,,,,,,,,Lamost_DR2
J062052.07+024123.3,95.21698,2.689828,16.12,14.87,14.32,,,,,,,,,,,,,Lamost_DR2
J062054.83+233624.2,95.22848,23.606736,15.38,13.93,13.26,,,,,,,,,,,,,Lamost_DR2
J062104.37+060650.1,95.268229,6.113919,13.34,12.24,11.64,,,,,,,,,,,,,Lamost_DR2
J062107.68+113415.3,95.282024,11.570935,19.79,13.2,11.75,,,,,,,,,,,,,Lamost_DR2
J062115.54+013308.6,95.314763,1.552406,14.9,13.13,11.86,,,,,,,,,,,,,Lamost_DR2
J062128.64-045847.7,95.369359,-4.979932,15.72,14.74,14.31,,,,,,,,,,,,,Lamost_DR2
J062134.50+163416.3,95.393781,16.571196,16.72,15.22,14.42,,,,,,,,,,,,,Lamost_DR2
J062149.06+020906.9,95.454439,2.151923,16.45,15.11,14.5,,,,,,,,,,,,,Lamost_DR2
J062157.64+171714.6,95.490173,17.287407,16.34,14.86,14.1,,,,,,,,,,,,,Lamost_DR2
J062200.19+280258.5,95.500825,28.049601,14.62,13.86,13.52,,,,,,,,,,,,,Lamost_DR2
J062214.98+184230.6,95.562427,18.708507,14.63,13.32,12.73,,,,,,,,,,,,,Lamost_DR2
J062226.78+204223.2,95.611619,20.706446,15.2,12.56,10.16,,,,,,,,,,,,,Lamost_DR2
J062234.38+330732.8,95.64329,33.125793,12.89,11.95,11.53,,,,,,,,,,,,,Lamost_DR2
J062236.45+331500.1,95.651899,33.250037,14.93,13.97,13.59,,,,,,,,,,,,,Lamost_DR2
J062238.49+141429.0,95.660389,14.241408,20.81,17.71,15.29,,,,,,,,,,,,,Lamost_DR2
J062242.66+545947.5,95.677776,54.996548,15.88,14.73,14.27,,,,,,,,,,,,,Lamost_DR2
J062259.03+484600.3,95.745959,48.766769,13.07,12.25,11.88,,,,,,,,,,,,,Lamost_DR2
J062306.37+242128.9,95.776574,24.358031,13.79,13.12,12.51,,,,,,,,,,,,,Lamost_DR2
J062337.59+025326.4,95.906654,2.890683,14.33,12.84,11.99,,,,,,,,,,,,,Lamost_DR2
J062356.37+250109.2,95.98489,25.019249,17.98,17.46,17.23,,,,,,,,,,,,,Lamost_DR2
J062413.57+012805.9,96.056551,1.468319,15.68,14.46,13.9,,,,,,,,,,,,,Lamost_DR2
J062415.00+242239.2,96.062501,24.377556,20.39,16.29,14.4,,,,,,,,,,,,,Lamost_DR2
J062441.77+285410.1,96.174052,28.902826,13.33,12.24,11.69,,,,,,,,,,,,,Lamost_DR2
J062506.15+333843.3,96.275629,33.64537,13.85,12.69,12,,,,,,,,,,,,,Lamost_DR2
J062525.05+010600.1,96.354406,1.10004,15.99,14.64,14.01,,,,,,,,,,,,,Lamost_DR2
J062526.34+022649.7,96.35978,2.447157,13.96,11.86,9.9,,,,,,,,,,,,,Lamost_DR2
J062528.95+141759.0,96.37066,14.299738,17.64,16.16,15.35,,,,,,,,,,,,,Lamost_DR2
J062535.16+160524.1,96.396529,16.090028,18.54,15.3,12.7,,,,,,,,,,,,,Lamost_DR2
J062536.32+144325.1,96.401353,14.723653,18.24,17.32,16.77,,,,,,,,,,,,,Lamost_DR2
J062552.25-005240.0,96.467721,-0.877778,,14.3788,13.8178,,,,,,,,,,,,,Lamost_DR2
J062558.33+023019.4,96.493079,2.505406,14.59,13.94,13.75,,,,,,,,,,,,,Lamost_DR2
J062609.38+314129.0,96.539108,31.691393,15.78,14.92,14.58,,,,,,,,,,,,,Lamost_DR2
J062614.44+190417.3,96.560193,19.071482,14.65,14.2,13.95,,,,,,,,,,,,,Lamost_DR2
J062637.26+090215.2,96.655265,9.037581,20.97,17.9,12.57,,,,,,,,,,,,,Lamost_DR2
J062646.34+182625.8,96.693124,18.440516,15.49,13.26,12.68,,,,,,,,,,,,,Lamost_DR2
J062714.70+612216.8,96.811259,61.371358,13.23,12.29,11.84,,,,,,,,,,,,,Lamost_DR2
J062718.38+105016.1,96.826592,10.837807,15.86,14.9,14.48,,,,,,,,,,,,,Lamost_DR2
J062749.65+192217.2,96.956915,19.371469,16.48,15.04,14.33,,,,,,,,,,,,,Lamost_DR2
J062808.04+202109.4,97.033539,20.352625,15.28,14.43,14.07,,,,,,,,,,,,,Lamost_DR2
J062808.48+022758.9,97.035343,2.466371,15.62,13.11,12.15,,,,,,,,,,,,,Lamost_DR2
J062828.75+102546.9,97.119832,10.429697,16.16,14.57,13.73,,,,,,,,,,,,,Lamost_DR2
J062836.27+274531.7,97.151152,27.758818,14.67,13.8,13.49,,,,,,,,,,,,,Lamost_DR2
J062858.34+092808.4,97.24309,9.46902,21.27,16.74,13.4,,,,,,,,,,,,,Lamost_DR2
J062901.52+243059.3,97.256335,24.51649,15.65,14.67,14.24,,,,,,,,,,,,,Lamost_DR2
J062906.02+252216.8,97.275098,25.371359,14.29,13.39,12.96,,,,,,,,,,,,,Lamost_DR2
J062912.86+210944.5,97.303605,21.162384,13.82,12.91,12.41,,,,,,,,,,,,,Lamost_DR2
J062921.76+203059.8,97.340684,20.516635,15.15,14.25,13.87,,,,,,,,,,,,,Lamost_DR2
J062946.10+053531.3,97.442098,5.592038,17.51,15.68,14.67,,,,,,,,,,,,,Lamost_DR2
J063008.26+003758.2,97.534445,0.632841,15.28,14.45,12.84,,,,,,,,,,,,,Lamost_DR2
J063010.09+004416.1,97.542068,0.737833,16.08,14.39,13.41,,,,,,,,,,,,,Lamost_DR2
J063016.88+014702.2,97.570339,1.783971,14.62,13.1,12.28,,,,,,,,,,,,,Lamost_DR2
J063028.70+421820.1,97.619608,42.305588,14.75,13.78,13.34,,,,,,,,,,,,,Lamost_DR2
J063031.11+434601.8,97.629662,43.767174,11.22,10.57,10.24,,,,,,,,,,,,,Lamost_DR2
J063036.01+241909.4,97.650045,24.319284,15.31,14.33,13.88,,,,,,,,,,,,,Lamost_DR2
J063106.45+404235.0,97.776897,40.709737,14.39,13.44,13.23,,,,,,,,,,,,,Lamost_DR2
J063109.65+022631.5,97.790213,2.442105,13.64,12.26,11.6,,,,,,,,,,,,,Lamost_DR2
J063122.88+020701.4,97.845346,2.117064,16.07,14.37,13.4,,,,,,,,,,,,,Lamost_DR2
J063124.54-003059.0,97.852256,-0.5164,13.437,10.847,9.362,,,,,,,,,,,,,Lamost_DR2
J063144.75+215258.4,97.936497,21.882903,15.17,14.32,13.96,,,,,,,,,,,,,Lamost_DR2
J063152.67+273742.9,97.969477,27.628591,15.48,14.16,13.58,,,,,,,,,,,,,Lamost_DR2
J063207.30+215729.4,98.030441,21.95819,16.59,15.58,15.15,,,,,,,,,,,,,Lamost_DR2
J063239.78-051244.7,98.165754,-5.212423,14.53,13.46,13.06,,,,,,,,,,,,,Lamost_DR2
J063313.94+181645.0,98.308085,18.279186,17.6,15.78,14.69,,,,,,,,,,,,,Lamost_DR2
J063318.79+174254.5,98.328331,17.71515,14.53,13.55,13.15,,,,,,,,,,,,,Lamost_DR2
J063328.79+274522.5,98.369977,27.756259,18.66,16.57,15.14,,,,,,,,,,,,,Lamost_DR2
J063339.44+024331.0,98.414347,2.725296,15.86,13.06,12.14,,,,,,,,,,,,,Lamost_DR2
J063343.02-032747.0,98.429251,-3.46308,14.23,12.87,11.84,,,,,,,,,,,,,Lamost_DR2
J063410.80+161235.3,98.545022,16.209818,13.3,12.33,11.69,,,,,,,,,,,,,Lamost_DR2
J063415.35+052403.5,98.563969,5.400993,14.23,12.75,12.03,,,,,,,,,,,,,Lamost_DR2
J063430.83+510738.9,98.62847,51.127478,14.74,13.67,13.37,,,,,,,,,,,,,Lamost_DR2
J063505.72+531148.1,98.773864,53.1967,13.22,12.76,12.17,,,,,,,,,,,,,Lamost_DR2
J063509.15+192700.9,98.78813,19.45025,15.93,14.81,14.33,,,,,,,,,,,,,Lamost_DR2
J063535.14+023453.7,98.89642,2.581598,21.23,17.17,15.1,,,,,,,,,,,,,Lamost_DR2
J063540.66+213513.5,98.919457,21.587091,12.97,11.84,11.28,,,,,,,,,,,,,Lamost_DR2
J063605.92+393512.1,99.024667,39.586722,21.78,16.84,14.85,,,,,,,,,,,,,Lamost_DR2
J063608.56+092339.1,99.035686,9.394203,14.65,13.15,12.34,,,,,,,,,,,,,Lamost_DR2
J063619.98+320034.3,99.083255,32.009531,16.56,13.98,13.89,,,,,,,,,,,,,Lamost_DR2
J063626.43+443539.2,99.110164,44.59424,12.14,11.4,10.59,,,,,,,,,,,,,Lamost_DR2
J063636.93+011032.3,99.153905,1.175655,,13.5797,11.8201,,,,,,,,,,,,,Lamost_DR2
J063644.09+041355.4,99.183717,4.232073,13.43,12.77,12.49,,,,,,,,,,,,,Lamost_DR2
J063654.59+011244.0,99.227465,1.212244,14.8222,12.979,11.536,,,,,,,,,,,,,Lamost_DR2
J063709.47+122353.6,99.289486,12.398234,18,16.5,15.96,,,,,,,,,,,,,Lamost_DR2
J063711.84+452526.9,99.299335,45.424157,14.88,14.11,13.8,,,,,,,,,,,,,Lamost_DR2
J063712.72+273150.7,99.303019,27.530757,11.83,11.06,10.77,,,,,,,,,,,,,Lamost_DR2
J063728.16+285226.4,99.367351,28.874008,17.14,16.39,16.11,,,,,,,,,,,,,Lamost_DR2
J063730.65+134818.8,99.377729,13.805242,14.74,13.77,12.93,,,,,,,,,,,,,Lamost_DR2
J063752.63+025820.4,99.46932,2.972338,15.09,14.19,12.9,,,,,,,,,,,,,Lamost_DR2
