name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,Error Bar,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ010942.00+165809.5,17.425,16.96930556,,17.49,7.31,,,,,,,,,,,,u,Green2013,17.42499448,16.96928915,0.004,0.003,90,2.78415E+18,17.42500176,0.1171,16.96928069,0.1032,0.0453,0.0453,22075.05519,16.71950899,0.138,1.617,0.244,-1.965,0.174,FALSE,1772.27,3.01577,17.567043,0.84753401,832.982,12.1529,18.049799,1379.82,12.8534,16.912363,1.137436,25.00629974,,,0,,,,,,0.062046
SDSSJ011043.99-103109.8,17.68291667,-10.51938889,,15.71,7.77,,,,,,,,,,,,g,Green2013,17.68330615,-10.51941128,0.002,0.001,90,2.46992E+18,17.68330363,0.0381,-10.51942479,0.0335,0.0805,0.0805,12422.36025,15.4710206,0.0498,-0.575,0.097,-3.139,0.072,FALSE,9128.67,4.00673,15.787347,0.316326402,3829.33,11.8051,16.393581,7558.29,12.8309,15.065862,1.32772,24.63600044,,,0,4762.87,0.3602,0.2338,,,1.380921
SDSSJ011717.70+010544.1,19.32375,1.095583333,,18.91,8.09,,,,,,,,,,,,d,Green2013,19.32373069,1.09559779,0.013,0.005,90,2.53529E+18,19.32387346,0.3126,1.09558398,0.1871,0.0143,0.0143,69930.06993,19.22331981,0.3188,33.154,0.817,-3.207,0.344,FALSE,471.504,1.41518,19.004652,-0.218667813,190.844,14.3585,19.649694,409.953,11.7945,18.230083,1.419611,26.15299953,,,0,,,,,,0.086818
SDSSJ011910.86+250137.2,19.795,25.027,,16.7,7.32,,,,,,,,,,,,dG,Green2013,19.79521691,25.02702894,0.002,0.002,90,2.9444E+17,19.79527151,0.0861,25.02699029,0.0584,0.0046,0.0046,217391.3043,21.68621084,0.103,11.49,0.134,-8.977,0.119,FALSE,3775.58,3.65058,16.745909,-4.940301842,1741.36,27.442,17.249165,2960.71,23.1679,16.083431,1.165733,50.60989944,,,0,4908.37,,,,,0.715193
SDSSJ012028.56-083630.9,20.11875,-8.608583333,,17,8.56,,,,,,,,,,,,d,Green2013,20.11894866,-8.608570679,0.003,0.001,90,2.47213E+18,20.1196045,0.1059,-8.60879849,0.0507,1.7569,1.7569,569.1843588,8.776264786,0.1279,150.609,0.211,-52.911,0.085,FALSE,2847.21,2.91985,17.052319,8.276054214,898.507,8.14934,17.967585,2806.7,13.99,16.141428,1.826157,22.13933968,,,0,4080.05,0.224,0.114,,,0.708576
SDSSJ012101.10-001507.3,20.25458333,-0.252027778,,19.26,8.45,,,,,,,,,,,,d,Green2013,20.25457645,-0.252077269,0.011,0.008,90,2.53414E+18,20.25462551,0.3037,-0.252153804,0.2646,0.7209,0.7209,1387.154945,10.71062487,0.3647,11.394,0.738,-17.776,0.485,FALSE,341.448,1.33125,19.355053,8.644428128,125.509,6.30812,20.104702,356.871,10.2736,18.380642,1.72406,16.58171977,,,0,,,,,,0.179879
SDSSJ012150.33+011302.2,20.45958333,1.217277778,,16.97,8.38,,,,,,,,,,,,d,Green2013,20.45959119,1.217368593,0.003,0.002,90,2.53516E+18,20.46047589,0.0908,1.216781237,0.0656,3.2098,3.2098,311.5458907,7.467610136,0.1043,205.431,0.188,-136.418,0.129,FALSE,2748.45,2.84432,17.090645,9.623034864,886.109,18.7358,17.98267,2693.21,16.1308,16.186245,1.796425,34.86659979,,,0,,,,,,0.328158
SDSSJ012159.74-010142.8,20.49875,-1.028555556,,18,,,,,,,,,,,,,dG,Green2013,20.49893022,-1.028576489,0.006,0.003,90,2.53352E+18,20.49902553,0.1777,-1.028591372,0.1085,0.7059,0.7059,1416.631251,10.75628409,0.2116,22.133,0.358,-3.457,0.193,FALSE,1117.62,2.18124,18.067629,7.311344909,567.481,11.4166,18.466509,789.006,11.2704,17.519218,0.94729,22.68700023,,,0,,,,,,0.653061
SDSSJ012321.07-004549.9,20.8375,-0.763861111,,17.73,8.21,,,,,,,,,,,,uE,Green2013,20.83780525,-0.763879091,0.006,0.003,90,2.53391E+18,20.83779146,0.1565,-0.763856993,0.1003,0.7823,0.7823,1278.281989,10.53313335,0.1695,-3.203,0.388,5.132,0.185,FALSE,1396.02,3.03378,17.826138,7.293004651,535.985,9.17765,18.528507,1276.13,16.1929,16.99718,1.531326,25.37055045,,,0,,,,,,1.100705
SDSSJ012518.67-104448.2,21.3275,-10.74672222,,16.42,8.54,,,,,,,,,,,,d,Green2013,21.32781016,-10.74672865,0.005,0.002,90,2.45878E+18,21.3276758,0.1754,-10.74729409,0.0949,3.0315,3.0315,329.8697015,7.591712137,0.1985,-30.657,0.324,-131.327,0.151,FALSE,4929.73,4.17027,16.456306,8.864593863,1622.48,10.9169,17.32594,4808.24,21.366,15.556955,1.768984,32.28289968,,,0,4229.5,0.1812,0.09,,,1.097228
