,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
58,292,9.69,0.38535394162272735,0.3853462978872235,3.658492791229724,4.983955941115304,-1.3713781035721873,-4.0,-3.976547,36.466148,24.647758,0.0
59,293,9.69,0.38774869703537246,0.3877409659178735,3.6588462243008473,4.982863075080844,-1.3661913338445562,-4.0,-3.977012,36.434399,24.624393,0.0
60,294,9.69,0.3901813917040424,0.3901735784599401,3.6592072975243126,4.981743527345168,-1.3609061859019005,-4.0,-3.977508,36.402107,24.600584,0.0
61,295,9.69,0.3930085216028536,0.3930006138027574,3.659671548122709,4.980214723183089,-1.3544212925568453,-4.0,-3.977994,36.361588,24.570808,0.0
62,296,9.69,0.3976841628156017,0.39767608577646607,3.660507447864213,4.977146535397828,-1.3429899999049406,-4.0,-3.987349,36.28978,24.516827,0.0
63,297,9.69,0.4023807818007552,0.4023725343650518,3.661346819360892,4.973983626991448,-1.3314231928918574,-4.0,-3.987579,36.218079,24.463705,0.0
64,298,9.69,0.40875796893639854,0.40874944830896814,3.662651079317465,4.969175229136472,-1.3147682309409805,-4.0,-3.992601,36.111046,24.384224,0.0
65,299,9.69,0.4161879659822536,0.4161790930356972,3.664266812611484,4.963246129934467,-1.2947751508980974,-4.0,-3.993098,35.981434,24.288528,0.0
66,300,9.69,0.42349819256225746,0.4234889583077381,3.66586523061786,4.957315238152199,-1.2749720708923034,-4.0,-3.984384,35.854687,24.195343,0.0
67,301,9.69,0.4311511513917909,0.4311415222699594,3.667548068962121,4.951008217936076,-1.254104563647058,-4.0,-3.984976,35.721634,24.096497,0.0
68,302,9.69,0.43848522801898066,0.4384751899126864,3.669287742826448,4.944790197411409,-1.233551934189003,-4.0,-3.999442,35.585876,23.995741,0.0
69,303,9.69,0.44552661749612354,0.44551616519804105,3.671003358896352,4.938714136119072,-1.2135700140358907,-4.0,-3.990623,35.453915,23.900036,0.0
